Year,Map Name,web address,Category,Code,status,Source,tileset_ID,comments,url,description
1877,June Rainfall,https://drive.google.com/file/d/1er5ZaTsMbKnAoGrvM1xm_oRglqQO1HUQ/view?usp=sharing,B,B07,,mapbox,shgis-kennethdean.3s20g8tl,,,Layer B02 to B13 show rainfall in 1877. Green dots mark meteorological stations (please combine with layers B39 and B40  or look up the station names there).
1877,July Rainfall,https://drive.google.com/file/d/1jSXbXt9N_m4TPr_x3-yQTavGyAFsfbaK/view?usp=sharing,B,B08,,mapbox,shgis-kennethdean.bvd29306,,,Layer B02 to B13 show rainfall in 1877. Green dots mark meteorological stations (please combine with layers B39 and B40  or look up the station names there).
1877,August Rainfall,https://drive.google.com/file/d/1fwOiMm8MjsLOpez3b3PZQS-f4mSICb4H/view?usp=sharing,B,B09,,mapbox,shgis-kennethdean.8b3io5si,,,Layer B02 to B13 show rainfall in 1877. Green dots mark meteorological stations (please combine with layers B39 and B40  or look up the station names there).
1877,September Rainfall,https://drive.google.com/file/d/1dRHcop4LhOAyeqw7Am-4YIXQA27NCR6W/view?usp=sharing,B,B10,,mapbox,shgis-kennethdean.8mnfzi7p,,,Layer B02 to B13 show rainfall in 1877. Green dots mark meteorological stations (please combine with layers B39 and B40  or look up the station names there).
1877,October Rainfall,https://drive.google.com/file/d/1XV-p7xcYR63mvorQG44BZp0KG9VPSczy/view?usp=sharing,B,B11,,mapbox,shgis-kennethdean.61ltld3n,,,Layer B02 to B13 show rainfall in 1877. Green dots mark meteorological stations (please combine with layers B39 and B40  or look up the station names there).
1877,November Rainfall,https://drive.google.com/file/d/1pfG4Sv4Xz7kqEAfncI1DqKuVxMZDcFLF/view?usp=sharing,B,B12,,mapbox,shgis-kennethdean.0mcrf1lk,,,Layer B02 to B13 show rainfall in 1877. Green dots mark meteorological stations (please combine with layers B39 and B40  or look up the station names there).
1877,December Rainfall,https://drive.google.com/file/d/1RyvYcHW6WqUtUmKaTH_p959qsRtCpt32/view?usp=sharing,B,B13,,mapbox,shgis-kennethdean.by7hb3ui,,,Layer B02 to B13 show rainfall in 1877. Green dots mark meteorological stations (please combine with layers B39 and B40  or look up the station names there).
1913,Map of Singapore Showing the Principal Residences and Places of Interest (1913),https://drive.google.com/file/d/1U85VOifKW7ppoqbf_lMnHemx9sA9zGAj/view?usp=sharing,B,B38,,mapbox,shgis-kennethdean.B38,,,
1911,January Rainfall,,B,B14,,mapbox,shgis-kennethdean.6d7ehut2,,,"Layers B14 to B25 show rainfall in 1911. Red dots mark meteorological stations (please combine with layers B40 and B38 or look up the station names there). Rainfall amounts are given in inches (=2,54 cm)."
1911,February Rainfall,https://drive.google.com/file/d/1QzYCQtl0V0d1a7OEs8uSl3XLyOG8flXY/view?usp=sharing,B,B15,,mapbox,shgis-kennethdean.6kv47oyq,,,"Layers B14 to B25 show rainfall in 1911. Red dots mark meteorological stations (please combine with layers B40 and B38 or look up the station names there). Rainfall amounts are given in inches (=2,54 cm)."
1911,March Rainfall,https://drive.google.com/file/d/1eq-qTHf6rLPjyOPr9nyTDCFYmyqHyboz/view?usp=sharing,B,B16,,mapbox,shgis-kennethdean.3lb94s16,,,"Layers B14 to B25 show rainfall in 1911. Red dots mark meteorological stations (please combine with layers B40 and B38 or look up the station names there). Rainfall amounts are given in inches (=2,54 cm)."
1911,April Rainfall,https://drive.google.com/file/d/1PaUppXLE3G53haS3k6VmwlkjK8E_qPzR/view?usp=sharing,B,B17,,mapbox,shgis-kennethdean.d6saxz0g,,,"Layers B14 to B25 show rainfall in 1911. Red dots mark meteorological stations (please combine with layers B40 and B38 or look up the station names there). Rainfall amounts are given in inches (=2,54 cm)."
1911,May Rainfall,https://drive.google.com/file/d/1Z0HZ9az9mNLY5cMSjLp5-6sig_igORtF/view?usp=sharing,B,B18,,mapbox,shgis-kennethdean.biwupgqs,,,"Layers B14 to B25 show rainfall in 1911. Red dots mark meteorological stations (please combine with layers B40 and B38 or look up the station names there). Rainfall amounts are given in inches (=2,54 cm)."
1911,June Rainfall,https://drive.google.com/file/d/1cZl8AkFLCXZwWF7WTVgAnoI9cpR2ErUs/view?usp=sharing,B,B19,,mapbox,shgis-kennethdean.6i9yrrni,,,"Layers B14 to B25 show rainfall in 1911. Red dots mark meteorological stations (please combine with layers B40 and B38 or look up the station names there). Rainfall amounts are given in inches (=2,54 cm)."
1911,July Rainfall,https://drive.google.com/file/d/13ayVUtDxXJHSIGsliFataef0M-JoIKdt/view?usp=sharing,B,B20,,mapbox,shgis-kennethdean.69mfxx2o,,,"Layers B14 to B25 show rainfall in 1911. Red dots mark meteorological stations (please combine with layers B40 and B38 or look up the station names there). Rainfall amounts are given in inches (=2,54 cm)."
1911,August Rainfall,https://drive.google.com/file/d/1l2k66yqBYNyQW3FI68kWfzzu_qVxLxfl/view?usp=sharing,B,B21,,mapbox,shgis-kennethdean.biwupgqs,,,"Layers B14 to B25 show rainfall in 1911. Red dots mark meteorological stations (please combine with layers B40 and B38 or look up the station names there). Rainfall amounts are given in inches (=2,54 cm)."
1911,September Rainfall,https://drive.google.com/file/d/1hy-cUlIirKGj6xC-7-Q60IT6CAG6c1Ag/view?usp=sharing,B,B22,,mapbox,shgis-kennethdean.a2e13zke,,,"Layers B14 to B25 show rainfall in 1911. Red dots mark meteorological stations (please combine with layers B40 and B38 or look up the station names there). Rainfall amounts are given in inches (=2,54 cm)."
1911,October Rainfall,https://drive.google.com/file/d/1nPfXQqum7owy73MgA7Ojk8sR0Xa8n_h_/view?usp=sharing,B,B23,,mapbox,shgis-kennethdean.ctifzbyq,,,"Layers B14 to B25 show rainfall in 1911. Red dots mark meteorological stations (please combine with layers B40 and B38 or look up the station names there). Rainfall amounts are given in inches (=2,54 cm)."
1911,November Rainfall,https://drive.google.com/file/d/1AH3xqy1YFZaaamgoGiGXyn4cJ1jZJABo/view?usp=sharing,B,B24,,mapbox,shgis-kennethdean.288fd6sj,,,"Layers B14 to B25 show rainfall in 1911. Red dots mark meteorological stations (please combine with layers B40 and B38 or look up the station names there). Rainfall amounts are given in inches (=2,54 cm)."
1911,December Rainfall,https://drive.google.com/file/d/121QNlfa9iHGcQoT5cyuMINIkUEk-Po25/view?usp=sharing,B,B25,,mapbox,shgis-kennethdean.c7qx01br,,,"Layers B14 to B25 show rainfall in 1911. Red dots mark meteorological stations (please combine with layers B40 and B38 or look up the station names there). Rainfall amounts are given in inches (=2,54 cm)."
1912,January Rainfall,https://drive.google.com/file/d/1tt4E56n7p0I7tXDBRvZQg8EnZN70tndR/view?usp=sharing,B,B26,,mapbox,shgis-kennethdean.ackd5oyp,,,"Layers B26 to B37 show rainfall in 1912. Red dots mark meteorological stations (please combine with layers B40 and B38 or look up the station names there). Rainfall amounts are given in inches (2,54 cm)."
1912,February Rainfall,https://drive.google.com/file/d/1KvxhlKKuAykFz6e58Dw2F0ZT8WSmrMVS/view?usp=sharing,B,B27,,mapbox,shgis-kennethdean.3hl06jjg,,,"Layers B26 to B37 show rainfall in 1912. Red dots mark meteorological stations (please combine with layers B40 and B38 or look up the station names there). Rainfall amounts are given in inches (2,54 cm)."
1912,March Rainfall,https://drive.google.com/file/d/1RLMrsGkLTkUuIn95DxOTpIbnwzYt7aH6/view?usp=sharing,B,B28,,mapbox,shgis-kennethdean.7ms3fs6f,,,"Layers B26 to B37 show rainfall in 1912. Red dots mark meteorological stations (please combine with layers B40 and B38 or look up the station names there). Rainfall amounts are given in inches (2,54 cm)."
1912,April Rainfall,https://drive.google.com/file/d/1EDnd539eOmmbBRv-ghWS2zAQQ56D99nP/view?usp=sharing,B,B29,,mapbox,shgis-kennethdean.2q5pu5xk,,,"Layers B26 to B37 show rainfall in 1912. Red dots mark meteorological stations (please combine with layers B40 and B38 or look up the station names there). Rainfall amounts are given in inches (2,54 cm)."
1912,May Rainfall,https://drive.google.com/file/d/1R-eUfZHUk4u0jbpv8B95zWO8f1mE3Vnw/view?usp=sharing,B,B30,,mapbox,shgis-kennethdean.9nw8w3j3,,,"Layers B26 to B37 show rainfall in 1912. Red dots mark meteorological stations (please combine with layers B40 and B38 or look up the station names there). Rainfall amounts are given in inches (2,54 cm)."
1912,June Rainfall,https://drive.google.com/file/d/1B1BsTcqzUHPGfAIRyM3I-z7RF3ATB91_/view?usp=sharing,B,B31,,mapbox,shgis-kennethdean.777fjsv7,,,"Layers B26 to B37 show rainfall in 1912. Red dots mark meteorological stations (please combine with layers B40 and B38 or look up the station names there). Rainfall amounts are given in inches (2,54 cm)."
1912,July Rainfall,https://drive.google.com/file/d/1gqoXkJrNzrU-di3vb4kRb7da7olwnlH9/view?usp=sharing,B,B32,,mapbox,shgis-kennethdean.dqjep6vw,,,"Layers B26 to B37 show rainfall in 1912. Red dots mark meteorological stations (please combine with layers B40 and B38 or look up the station names there). Rainfall amounts are given in inches (2,54 cm)."
1912,August Rainfall,https://drive.google.com/file/d/1X8U6UPvbOmT8kpHP0CenkjpfMdwLom0_/view?usp=sharing,B,B33,,mapbox,shgis-kennethdean.1140c8fq,,,"Layers B26 to B37 show rainfall in 1912. Red dots mark meteorological stations (please combine with layers B40 and B38 or look up the station names there). Rainfall amounts are given in inches (2,54 cm)."
1912,September Rainfall,https://drive.google.com/file/d/1L9tgGX5AT75EIzVU5u0-dpr04ySSs7uL/view?usp=sharing,B,B34,,mapbox,shgis-kennethdean.2y7to6z7,,,"Layers B26 to B37 show rainfall in 1912. Red dots mark meteorological stations (please combine with layers B40 and B38 or look up the station names there). Rainfall amounts are given in inches (2,54 cm)."
1912,October Rainfall,https://drive.google.com/file/d/1KAHwYK--Sfnn9vWSv6LqrjlHdY4EzaoE/view?usp=sharing,B,B35,,mapbox,shgis-kennethdean.6azs46za,,,"Layers B26 to B37 show rainfall in 1912. Red dots mark meteorological stations (please combine with layers B40 and B38 or look up the station names there). Rainfall amounts are given in inches (2,54 cm)."
1912,November Rainfall,https://drive.google.com/file/d/1MG3ZecHTiw2J8rmnQ0mhdhyR3CiwbCS2/view?usp=sharing,B,B36,,mapbox,shgis-kennethdean.9revyust,,,"Layers B26 to B37 show rainfall in 1912. Red dots mark meteorological stations (please combine with layers B40 and B38 or look up the station names there). Rainfall amounts are given in inches (2,54 cm)."
1912,December Rainfall,https://drive.google.com/file/d/12tLiawPtxozOxYxTu3ndPJKlicMNzZRq/view?usp=sharing,B,B37,,mapbox,shgis-kennethdean.44sv46nl,,,"Layers B26 to B37 show rainfall in 1912. Red dots mark meteorological stations (please combine with layers B40 and B38 or look up the station names there). Rainfall amounts are given in inches (2,54 cm)."
1954,Singapore and Johore Bahru – Flood Map December 1954,https://drive.google.com/file/d/1crLov5ZSqML-VeDsOtIVP8Xq7HFO0dx6/view?usp=sharing,B,B41,,mapbox,shgis-kennethdean.B39,,,This is one of two known examples of special project maps on major floods in Singapore.
1976,Singapore – Flood Map December,https://drive.google.com/file/d/1LYeblYN-8Eng3lapQX8cWM4Xilx4b3GO/view?usp=sharing,B,B42,,mapbox,shgis-kennethdean.B40,,,This is one of two known examples of special project maps on major floods in Singapore.
1950,Map of Singapore,https://drive.google.com/file/d/1kafAGUXzZEl1ovaKLkpaRXCYhzlzj3EP/view?usp=sharing,C,C01,,mapbox,shgis-kennethdean.1uya4p9x,,,This rare epidemiological map illustrates anti-malaria works (such as anti-mosquito oiling) and locations of hospitals
1951,Map of Singapore,https://drive.google.com/file/d/1lH9nSf8F4iYld2LPi2EYK8OXpr6CtkVd/view?usp=sharing,C,C02,,mapbox,shgis-kennethdean.9cealpf3,,,This rare epidemiological map illustrates anti-malaria works (such as anti-mosquito oiling) and locations of hospitals
1969,"Map of P. Tekong showing location of malaria cases and Anopheles maculatus breeding in the 1969 malaria outbreak, together with old and new oiling areas and other features",https://drive.google.com/file/d/1h5PWfNt-mBlaS3h5espzIFz4dfsXGNI_/view?usp=sharing,C,C03,,mapbox,shgis-kennethdean.0k7zbenw,,,
1974-5,"Geographical distribution of cases in relation to tidal influence and adult harbourages at Whampoa-Kallang area, 1974-5",https://drive.google.com/file/d/1zoxiW91oOduaC_hhvvYI6rts81qtgnlC/view?usp=sharing,C,C04,,mapbox,shgis-kennethdean.dg3mxn2w,,,
1976-82,"Geographical distribution of introduced malaria cases in Singapore, 1976 - 1982",https://drive.google.com/file/d/1LHgVlTnX5fh9ID6pmB-89lkyfr2a6ZHf/view?usp=sharing,C,C05,,mapbox,shgis-kennethdean.4ki72mgp,,,
,"Geographical distribution of malaria vectors in Singapore, 1976 - 1982",https://drive.google.com/file/d/1IQNw733zk4kS_XO7lq14PjmyBEsT-4xV/view?usp=sharing,C,C06,,mapbox,shgis-kennethdean.9muiu5o5,,,
1976,"Malaria outbreaks at Changi and East Coast/Chai Ghee, 1976",https://drive.google.com/file/d/10sFza9ZmtmlnWwBmm-7a-u9aiSNu0rgA/view?usp=sharing,C,C07,,mapbox,shgis-kennethdean.8u9jidi2,,,
1980,"Malaria Outbreak at Siak Kuan Road, Oct 1980",https://drive.google.com/file/d/1X-kecVVaOD09h42J7PNlXNN46ha8SkOc/view?usp=sharing,C,C08,,mapbox,shgis-kennethdean.2fkoni01,,,
